k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err,P_k_rescaled,P_k_rescaled_std,P_k_rescaled_err
1.847077e-01,1.279731e-02,1.358836e-02,1.358836e-04,4.627265e-03,5.317807e-03,5.317807e-05
1.871065e-01,1.198948e-02,1.283163e-02,1.283163e-04,4.250801e-03,4.732048e-03,4.732048e-05
1.895053e-01,1.090795e-02,1.184523e-02,1.184523e-04,3.834038e-03,4.397300e-03,4.397300e-05
1.919041e-01,1.021918e-02,1.093506e-02,1.093506e-04,3.588064e-03,4.146046e-03,4.146046e-05
1.943029e-01,9.391822e-03,1.008970e-02,1.008970e-04,3.208568e-03,3.661498e-03,3.661498e-05
1.967017e-01,8.665366e-03,9.335575e-03,9.335575e-05,2.928894e-03,3.490048e-03,3.490048e-05
1.991005e-01,8.075504e-03,8.705660e-03,8.705660e-05,2.715478e-03,3.316412e-03,3.316412e-05
2.014993e-01,7.447074e-03,8.149392e-03,8.149392e-05,2.453980e-03,2.911319e-03,2.911319e-05
2.038981e-01,6.915455e-03,7.553455e-03,7.553455e-05,2.281825e-03,2.696128e-03,2.696128e-05
2.062969e-01,6.326935e-03,7.034250e-03,7.034250e-05,2.070980e-03,2.525297e-03,2.525297e-05
2.086957e-01,5.824931e-03,6.393526e-03,6.393526e-05,1.859350e-03,2.208939e-03,2.208939e-05
2.110945e-01,5.335453e-03,5.876962e-03,5.876962e-05,1.703007e-03,1.976295e-03,1.976295e-05
2.134933e-01,4.981810e-03,5.443835e-03,5.443835e-05,1.575192e-03,1.898634e-03,1.898634e-05
2.158921e-01,4.581238e-03,4.889963e-03,4.889963e-05,1.440813e-03,1.761441e-03,1.761441e-05
2.182909e-01,4.282234e-03,4.731507e-03,4.731507e-05,1.291049e-03,1.569702e-03,1.569702e-05
2.206897e-01,3.951549e-03,4.424677e-03,4.424677e-05,1.204451e-03,1.473797e-03,1.473797e-05
2.230885e-01,3.639199e-03,3.974662e-03,3.974662e-05,1.102490e-03,1.382551e-03,1.382551e-05
2.254873e-01,3.346094e-03,3.679240e-03,3.679240e-05,1.015163e-03,1.290698e-03,1.290698e-05
2.278861e-01,3.067516e-03,3.330090e-03,3.330090e-05,9.138073e-04,1.176569e-03,1.176569e-05
2.302849e-01,2.817341e-03,3.105860e-03,3.105860e-05,8.446095e-04,1.099284e-03,1.099284e-05
2.326837e-01,2.610423e-03,2.921218e-03,2.921218e-05,7.861630e-04,1.071430e-03,1.071430e-05
2.350825e-01,2.375410e-03,2.659433e-03,2.659433e-05,6.903612e-04,9.604597e-04,9.604597e-06
2.374813e-01,2.220960e-03,2.539443e-03,2.539443e-05,6.411184e-04,8.874330e-04,8.874330e-06
2.398801e-01,2.024618e-03,2.249956e-03,2.249956e-05,5.906436e-04,8.205841e-04,8.205841e-06
2.422789e-01,1.899374e-03,2.099007e-03,2.099007e-05,5.532807e-04,8.046299e-04,8.046299e-06
2.446777e-01,1.702429e-03,1.915013e-03,1.915013e-05,5.060034e-04,7.190341e-04,7.190341e-06
2.470765e-01,1.597883e-03,1.815110e-03,1.815110e-05,4.591570e-04,6.733569e-04,6.733569e-06
2.494753e-01,1.452616e-03,1.637872e-03,1.637872e-05,4.208646e-04,6.174521e-04,6.174521e-06
2.518741e-01,1.351571e-03,1.525197e-03,1.525197e-05,3.930901e-04,5.989295e-04,5.989295e-06
2.542729e-01,1.229592e-03,1.430447e-03,1.430447e-05,3.591107e-04,5.587347e-04,5.587347e-06
2.566717e-01,1.115911e-03,1.319882e-03,1.319882e-05,3.280428e-04,5.160694e-04,5.160694e-06
2.590705e-01,1.023814e-03,1.213375e-03,1.213375e-05,3.031218e-04,5.035778e-04,5.035778e-06
2.614693e-01,9.425148e-04,1.074857e-03,1.074857e-05,2.777789e-04,4.673386e-04,4.673386e-06
2.638681e-01,8.761345e-04,1.022759e-03,1.022759e-05,2.509272e-04,4.151750e-04,4.151750e-06
2.662669e-01,8.313784e-04,9.560289e-04,9.560289e-06,2.317871e-04,4.335076e-04,4.335076e-06
2.686657e-01,7.537474e-04,8.868897e-04,8.868897e-06,2.123999e-04,4.074956e-04,4.074956e-06
2.710645e-01,6.786722e-04,7.814246e-04,7.814246e-06,1.957952e-04,3.693133e-04,3.693133e-06
2.734633e-01,6.141695e-04,7.400381e-04,7.400381e-06,1.800420e-04,3.544247e-04,3.544247e-06
2.758621e-01,5.826021e-04,6.767095e-04,6.767095e-06,1.657027e-04,3.310389e-04,3.310389e-06
2.782609e-01,5.337455e-04,6.156279e-04,6.156279e-06,1.537519e-04,3.011462e-04,3.011462e-06
2.806597e-01,4.922610e-04,5.903404e-04,5.903404e-06,1.402331e-04,2.917103e-04,2.917103e-06
2.830585e-01,4.591422e-04,5.663085e-04,5.663085e-06,1.290099e-04,2.861094e-04,2.861094e-06
2.854573e-01,4.084271e-04,4.878739e-04,4.878739e-06,1.199601e-04,2.717758e-04,2.717758e-06
2.878561e-01,3.752554e-04,4.748814e-04,4.748814e-06,1.099620e-04,2.465873e-04,2.465873e-06
2.902549e-01,3.559347e-04,4.388843e-04,4.388843e-06,1.020588e-04,2.524414e-04,2.524414e-06
2.926537e-01,3.257028e-04,4.257661e-04,4.257661e-06,9.406509e-05,2.421735e-04,2.421735e-06
2.950525e-01,2.894083e-04,3.602398e-04,3.602398e-06,8.639019e-05,2.182199e-04,2.182199e-06
2.974513e-01,2.765214e-04,3.578591e-04,3.578591e-06,8.121973e-05,2.124904e-04,2.124904e-06
2.998501e-01,2.549705e-04,3.212545e-04,3.212545e-06,7.476763e-05,2.007134e-04,2.007134e-06
